开始	,结束	,市场形态
2000/1/7	,2001/6/8	,牛市
2001/6/8	,2002/1/18	,熊市
2002/1/18	,2003/11/14	,震荡下行
2003/11/14	,2004/4/2	,牛市
2004/4/2	,2005/7/8	,熊市
2005/7/8	,2006/8/4	,牛市
2006/8/4	,2007/10/12	,牛市
2007/10/12	,2008/1/11	,震荡
2008/1/11	,2008/10/31	,熊市
2008/10/31	,2009/7/31	,牛市
2009/7/31	,2010/4/9	,震荡
2010/4/9	,2010/7/16	,熊市
2010/7/16	,2010/11/5	,牛市
2010/11/5	,2011/4/15	,震荡
2011/4/15	,2012/11/30	,熊市
2012/11/30	,2014/7/18	,震荡上行
2014/7/18	,2015/6/12	,牛市
2015/6/12	,2015/9/18	,熊市
2015/9/18	,2015/12/25	,牛市
2015/12/25	,2016/2/26	,熊市
2016/2/26	,2017/5/12	,震荡
2017/5/12	,2018/1/26	,震荡上行
2018/1/26	,2019/1/4	,熊市
2019/1/4	,2019/4/19	,牛市
